date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-10-31,WSM,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.0427807486631016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271146524064171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.11778192079008365,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-01-31,WSM,1985,Q4,USD,1.0,-1.7903930131004366,-1.7903930131004366,-1.7903930131004366,0.0,0.0611353711790393,0.0,0.0,16.357142857142858,0.0,0.0,3.2253521126760565,0.7842465753424658,2.047169811320755,0.839622641509434,0.0,0.29245283018867924,0.0,0.0,0.0,2.903968851461988,2.168465823580786,0.0,0.0,0.11986301369863013,0.2046783625730994,0.16990291262135923,0.08064516129032258,1.7076023391812865,0.0,,,0.0,-20.5,0.0,,,0.0,0.0,0.0,,,0.14423561422956768,0.0,0.022044744532903355,0.0195253451577144,0.10770432328932783,0.10770432328932783,0.10770432328932783,,,,0.0,0.0,2.903968851461988,0.0704822858103506,0.0,-1.2209235941463414,,Consumer Cyclical
1986-04-30,WSM,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4530972735632184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.10964359530170893,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-07-31,WSM,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556695039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.10702054794520548,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-10-31,WSM,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7913767708029193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.17249194198227236,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-01-31,WSM,1986,Q4,USD,1.0,-1.4844559585492227,-1.4844559585492227,-1.4844559585492227,0.0,0.031088082901554404,0.0,0.0,15.44,0.0,0.0,2.7375886524822697,0.8772727272727273,1.5513513513513513,0.42162162162162165,0.0,0.043243243243243246,0.0,0.0,0.0,4.301187096774193,2.0725927461139895,0.0,0.0,0.18409090909090908,0.43548387096774194,0.30337078651685395,0.27058823529411763,2.3655913978494625,0.0,,,0.0,-47.75,0.0,,,0.0,0.0,0.0,,,0.26805555555555555,0.0,0.05625,0.005555555555555556,0.12916666666666668,0.12916666666666668,0.12916666666666668,,,,0.0,0.0,4.301187096774193,0.10124736756844321,0.0,-1.523596509598604,,Consumer Cyclical
1987-04-30,WSM,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8011973444866918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.16527575285304913,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-07-31,WSM,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,-0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40872363880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.16841787743200443,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-10-31,WSM,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7758954508474574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2224624201900357,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1988-01-31,WSM,1987,Q4,USD,1.0,-1.679089026915114,-1.679089026915114,-1.679089026915114,0.0,0.053830227743271224,0.0,0.0,16.1,0.0,0.0,2.3333333333333335,0.8579040852575488,1.262962962962963,0.34444444444444444,0.0,0.022222222222222223,0.0,0.0,0.0,2.8547807678045043,1.312135259736232,0.0,0.0,0.2539964476021314,0.6441441441441441,0.3917808219178082,0.24232081911262798,2.536036036036036,0.0,,,0.0,-11.26388888888889,0.0,,,0.0,0.0,0.0,,,0.32931818331508267,0.0,0.09750000044318181,0.0040909091095041325,0.1513636370516529,0.1513636370516529,0.1513636370516529,,,,0.0,0.0,2.8547807678045043,0.22563699160672473,0.0,-0.9503838846517879,,Consumer Cyclical
