date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,WST,266.98,269.97,266.32,268.96,446226,1.98,0.74163,268.0575
2020-07-31,WST,270.35,273.27,267.13,268.87,618300,-1.48,-0.54744,269.905
2020-08-03,WST,272.4,279.54,271.01,278.64,671225,6.24,2.29,275.3975
2020-08-04,WST,276.49,277.16,272.34,274.44,515500,-2.05,-0.74144,275.1075
2020-08-05,WST,275.0,277.15,273.22,274.65,462642,-0.35,-0.12727,275.005
2020-08-06,WST,275.8,276.12,270.4,273.89,310000,-1.91,-0.69253,274.0525
2020-08-07,WST,273.94,277.8,270.95,273.55,293100,-0.39,-0.14237,274.06
2020-08-10,WST,272.0,273.41,265.64,266.38,617900,-5.62,-2.07,269.3575
2020-08-11,WST,267.0,268.21,261.6,264.55,684200,-2.45,-0.9176,265.34
2020-08-12,WST,264.44,274.34,264.44,272.44,445800,8.0,3.03,268.915
2020-08-13,WST,272.45,276.6,272.24,275.16,289540,2.71,0.99468,274.1125
2020-08-14,WST,275.16,276.45,270.77,272.47,289120,-2.69,-0.97761,273.7125
2020-08-17,WST,274.2,277.41,274.03,274.99,341996,0.79,0.28811,275.1575
2020-08-18,WST,275.53,277.15,274.34,275.31,317700,-0.22,-0.07984611,275.5825
2020-08-19,WST,276.46,278.39,273.73,274.92,291110,-1.54,-0.55704,275.875
2020-08-20,WST,274.62,278.22,274.62,275.47,294100,0.85,0.30952,275.7325
2020-08-21,WST,275.78,276.0,270.38,271.48,959419,-4.3,-1.56,273.41
2020-08-24,WST,272.52,275.17,267.95,269.67,655800,-2.85,-1.05,271.3275
2020-08-25,WST,269.87,275.0,268.58,274.6,479172,4.73,1.75,272.0125
2020-08-26,WST,272.97,275.7,270.89,274.11,332704,1.14,0.41763,273.4175
2020-08-27,WST,273.5,275.4,269.56,273.92,330400,0.42,0.15356,273.095
2020-08-28,WST,273.53,275.15,270.03,271.59,261700,-1.94,-0.70925,272.575
2020-08-31,WST,272.0,285.0,272.0,283.96,723007,11.96,4.4,278.24
2020-09-01,WST,285.45,287.45,278.75,281.75,458244,-3.7,-1.3,283.35
2020-09-02,WST,283.7,288.65,279.14,288.02,564957,4.32,1.52,284.8775
2020-09-03,WST,284.3,284.3,264.27,267.3,668801,-17.0,-5.98,275.0425
2020-09-04,WST,265.74,268.5,254.01,263.66,432100,-2.08,-0.78272,262.9775
2020-09-08,WST,260.43,266.82,257.85,262.62,392349,2.19,0.84092,261.93
2020-09-09,WST,267.03,276.73,266.31,272.57,410826,5.54,2.07,270.66
2020-09-10,WST,272.57,278.45,271.43,275.38,431312,2.81,1.03,274.4575
2020-09-11,WST,277.3,278.53,271.18,272.41,352731,-4.89,-1.76,274.855
2020-09-14,WST,274.91,278.57,274.17,277.87,396225,2.96,1.08,276.38
2020-09-15,WST,279.53,285.25,279.0,284.38,353800,4.85,1.74,282.04
2020-09-16,WST,285.38,287.81,280.41,281.28,653036,-4.1,-1.44,283.72
2020-09-17,WST,278.65,279.09,271.27,274.96,879700,-3.69,-1.32,275.9925
2020-09-18,WST,275.62,282.69,274.98,277.73,1612277,2.11,0.76555,277.755
