date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,WY,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.02988078649945812,0.02988078649945812,0.02988078649945812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.71629096502591,0.0,0.0,0.0,6.659386379470506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7327784410621763,0.012262026032823994,1.2262026032823996,2.6533976245128095,0.07928560791623661,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1985-12-31,WY,1985,Q4,USD,1.0,-2.98546042003231,-2.98546042003231,-2.98546042003231,0.0,0.05137318255250404,0.05137318255250404,0.05137318255250404,2.378025355359201,0.0,0.0,0.2992651324695417,0.20615123307744826,1.692568043999436,1.1575236214920321,0.023656313929700575,0.05598646171202933,39.23767688679245,0.19057759980652125,0.19057759980652125,3.0095468523878437,8.063057350565428,0.0,0.0,0.2110802124789769,0.38217559093101783,0.276502922956112,0.2711931443638761,1.8105704293294742,0.0,,,0.0,-110.65868263473054,0.0,,,0.0,0.0,1.6588541367924527,0.010569268292682926,1.0569268292682927,2.542459901833939,0.13061425666933646,2.6032489269504855,0.08153122625428706,6.811656706302754,6.811656706302754,6.811656706302754,,,,0.0,0.0,3.0095468523878437,0.12698775253417002,0.0,-3.0329991883116882,0.21667,Real Estate
1986-03-31,WY,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.038264329991581844,0.038264329991581844,0.038264329991581844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.49746550000001,-1.0940348886322682,-1.0940348886322682,0.0,9.565694574118007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1100624619999997,0.00844059213089209,0.8440592130892092,2.683547943236194,0.10268416404822048,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1986-06-30,WY,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.04567917724055029,0.04567917724055029,0.04567917724055029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.51030016447368,0.870628018430909,0.870628018430909,0.0,7.584625434085749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5473611589912282,0.009319139784946237,0.9319139784946238,3.0654117598890442,0.14002548709523882,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1986-09-30,WY,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.044514420668431975,0.044514420668431975,0.044514420668431975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.50278818327974,-6.968667745846729,-6.968667745846729,0.0,8.10212101910828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7020438697749196,0.009351316357358653,0.9351316357358653,2.859744990892532,0.12729989152903134,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1986-12-31,WY,1986,Q4,USD,1.0,-2.6207086722735418,-2.6207086722735418,-2.6207086722735418,0.0,0.06624844891768923,0.06624844891768923,0.06624844891768923,2.429408809244683,0.0,0.0,0.3319450800915332,0.22120560562392302,1.5589463912740775,0.8633093525179856,0.02904639564757443,0.04420979345555814,32.04493275234132,0.20804395856026262,0.20804395856026262,3.7911092422750214,8.49170836205708,0.0,0.0,0.25155161108315416,0.5076942016496369,0.33673552706785337,0.3122949605265943,2.0182506463129384,0.0,,,0.0,-21.835726593911545,0.0,,,0.0,0.0,1.1034049391259106,0.008608263806118394,0.8608263806118395,2.964067879729053,0.1963648995187936,3.3706923854963784,0.07785122447103056,6.639217809744685,6.639217809744685,6.639217809744685,,,,0.0,0.0,3.7911092422750214,0.1339170594158275,0.0,-3.6641340882786197,0.21667,Real Estate
1987-03-31,WY,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.06300624497619489,0.06300624497619489,0.06300624497619489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.09909249263984,-1.3935994228181463,-1.3935994228181463,0.0,11.870147838990912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0790336104023552,0.005727464974887656,0.5727464974887656,3.18698642284273,0.20080004729343606,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1987-06-30,WY,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.05042111808264089,0.05042111808264089,0.05042111808264089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.64642656950673,-3.0970177270179375,-3.0970177270179375,0.0,9.609544401107907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2326628352017939,0.006467761194029851,0.6467761194029851,3.486117405955032,0.1757739373756084,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1987-09-30,WY,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.06928952140227485,0.06928952140227485,0.06928952140227485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.203493011498814,0.7744768462529739,0.7744768462529739,0.0,9.75693272982032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779903114591594,0.006235107913669065,0.6235107913669066,3.5615701124793904,0.24677948853434314,,,,,,,,,0.0,0.0,0.0,,0.0,,0.21667,Real Estate
1987-12-31,WY,1987,Q4,USD,1.0,-2.5143257639472947,-2.5143257639472947,-2.5143257639472947,0.0,0.07255396691897953,0.07255396691897953,0.07255396691897953,2.420931179584634,0.0,0.0,0.4841730915408839,0.2476429831016815,2.002481389578164,1.135483870967742,0.037080551336791126,0.06811414392059553,25.256360413446675,0.42235524438534217,0.42235524438534217,3.521548448359463,7.329796551724138,0.0,0.0,0.22402421583193324,0.43462097947308875,0.3029517800811176,0.3000603363752923,1.9400624966327245,0.0,,,0.0,-203.8318181818182,0.0,,,0.0,0.0,0.9781828477588872,0.009682539682539683,0.9682539682539683,3.5239722982385078,0.255678169549797,3.187876033629385,0.10847551397437291,7.334841584256232,7.334841584256232,7.334841584256232,,,,0.0,0.0,3.521548448359463,0.12341757776342954,0.0,-3.262759438485382,0.2501,Real Estate
