date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,WY,27.85,28.44,27.47,28.4,6535700,0.55,1.97,28.04
2020-07-31,WY,28.77,29.03,27.41,27.81,11492037,-0.96,-3.34,28.255
2020-08-03,WY,27.41,28.18,27.31,28.0,4839149,0.59,2.15,27.725
2020-08-04,WY,27.8,27.95,27.49,27.83,6488205,0.03,0.10791,27.7675
2020-08-05,WY,28.26,28.5,28.18,28.35,4134411,0.09,0.31847,28.3225
2020-08-06,WY,28.12,28.46,27.77,28.01,3524434,-0.11,-0.39118,28.09
2020-08-07,WY,27.93,28.36,27.81,28.35,3187121,0.42,1.5,28.1125
2020-08-10,WY,28.39,28.85,28.28,28.81,6062522,0.42,1.48,28.5825
2020-08-11,WY,29.15,29.61,28.83,28.89,4798954,-0.26,-0.89194,29.12
2020-08-12,WY,29.08,29.33,28.93,29.2,2876722,0.12,0.41265,29.135
2020-08-13,WY,29.06,29.14,28.41,28.5,3021800,-0.56,-1.93,28.7775
2020-08-14,WY,28.52,28.59,28.12,28.36,3547749,-0.16,-0.56101,28.3975
2020-08-17,WY,28.39,29.24,28.26,28.96,4833514,0.57,2.01,28.7125
2020-08-18,WY,29.06,29.34,28.84,28.88,3023000,-0.18,-0.61941,29.03
2020-08-19,WY,28.92,29.42,28.91,28.97,5322749,0.05,0.17289,29.055
2020-08-20,WY,28.76,29.41,28.7,29.0,5168005,0.24,0.83449,28.9675
2020-08-21,WY,29.06,29.18,28.82,28.82,4295516,-0.24,-0.82588,28.97
2020-08-24,WY,29.1,29.22,28.84,29.21,4933100,0.11,0.37801,29.0925
2020-08-25,WY,29.33,29.34,28.7,29.15,4868233,-0.18,-0.61371,29.13
2020-08-26,WY,29.15,29.55,28.99,29.36,4157476,0.21,0.72041,29.2625
2020-08-27,WY,29.55,30.2,29.48,30.16,6651500,0.61,2.06,29.8475
2020-08-28,WY,30.27,31.16,30.04,30.89,6167708,0.62,2.05,30.59
2020-08-31,WY,30.89,30.9,30.09,30.31,5436878,-0.58,-1.88,30.5475
2020-09-01,WY,30.16,30.87,29.85,30.78,3424036,0.62,2.06,30.415
2020-09-02,WY,30.75,30.81,30.16,30.78,7513200,0.03,0.09756098,30.625
2020-09-03,WY,30.99,31.0,29.54,29.78,7682724,-1.21,-3.9,30.3275
2020-09-04,WY,29.97,30.18,28.71,29.04,5325647,-0.93,-3.1,29.475
2020-09-08,WY,28.65,28.76,27.95,28.09,5727632,-0.56,-1.95,28.3625
2020-09-09,WY,28.39,29.13,28.24,28.69,4624600,0.3,1.06,28.6125
2020-09-10,WY,28.72,29.24,28.49,28.55,4394639,-0.17,-0.59192,28.75
2020-09-11,WY,28.66,28.82,28.17,28.43,3521639,-0.23,-0.80251,28.52
2020-09-14,WY,28.83,28.98,28.55,28.93,3168850,0.1,0.34686,28.8225
2020-09-15,WY,29.0,29.16,28.51,28.76,4344912,-0.24,-0.82759,28.8575
2020-09-16,WY,28.92,29.22,28.39,28.93,4938917,0.01,0.03457815,28.865
2020-09-17,WY,28.55,28.89,28.21,28.68,3870523,0.13,0.45534,28.5825
2020-09-18,WY,28.32,28.83,27.73,27.73,6933914,-0.59,-2.08,28.1525
2020-09-21,WY,27.17,27.25,26.62,26.85,5139132,-0.32,-1.18,26.9725
2020-09-22,WY,26.98,27.82,26.81,27.72,4635435,0.74,2.74,27.3325
2020-09-23,WY,27.78,27.86,26.75,26.85,4088154,-0.93,-3.35,27.31
2020-09-24,WY,26.85,27.44,26.51,26.98,3549017,0.13,0.48417,26.945
2020-09-25,WY,26.71,27.37,26.55,27.28,2876406,0.57,2.13,26.9775
2020-09-28,WY,28.01,28.41,27.61,28.31,3425448,0.3,1.07,28.085
2020-09-29,WY,28.41,28.61,27.85,28.05,2999647,-0.36,-1.27,28.23
2020-09-30,WY,28.21,28.82,28.12,28.52,5068000,0.31,1.1,28.4175
2020-10-01,WY,28.68,28.95,28.25,28.79,4168400,0.11,0.38354,28.6675
2020-10-02,WY,28.09,29.27,27.93,29.11,4856400,1.02,3.63,28.6
2020-10-05,WY,29.21,29.84,29.11,29.73,3270126,0.52,1.78,29.4725
2020-10-06,WY,30.0,30.0,28.93,28.99,4686000,-1.01,-3.37,29.48
2020-10-07,WY,29.39,29.75,29.36,29.52,2986249,0.13,0.44233,29.505
2020-10-08,WY,29.71,30.28,29.55,30.26,3055803,0.55,1.85,29.95
2020-10-09,WY,30.51,30.54,29.17,29.32,4259288,-1.19,-3.9,29.885
2020-10-12,WY,29.42,29.85,29.21,29.7,2437900,0.28,0.95173,29.545
2020-10-13,WY,29.43,29.65,29.15,29.31,2486300,-0.12,-0.40775,29.385
2020-10-14,WY,29.39,29.77,29.25,29.26,2562561,-0.13,-0.44233,29.4175
2020-10-15,WY,28.93,29.84,28.79,29.79,3238300,0.86,2.97,29.3375
2020-10-16,WY,29.85,29.89,29.45,29.53,2871900,-0.32,-1.07,29.68
2020-10-19,WY,29.67,29.88,29.16,29.3,3596700,-0.37,-1.25,29.5025
2020-10-20,WY,29.68,30.2,29.48,30.11,4736600,0.43,1.45,29.8675
2020-10-21,WY,30.08,30.39,29.78,29.86,4301105,-0.22,-0.73138,30.0275
2020-10-22,WY,29.88,29.93,29.1,29.11,4677259,-0.77,-2.58,29.505
2020-10-23,WY,29.35,29.56,28.98,29.43,2704000,0.08,0.27257,29.33
2020-10-26,WY,29.06,29.25,28.21,28.45,4065333,-0.61,-2.1,28.7425
2020-10-27,WY,28.37,28.47,27.54,27.56,3098957,-0.81,-2.86,27.985
2020-10-28,WY,26.91,27.68,26.7,27.43,5201405,0.52,1.93,27.18
2020-10-29,WY,27.33,28.63,27.16,28.41,4253090,1.08,3.95,27.8825
2020-10-30,WY,28.15,28.27,26.57,27.29,6824300,-0.86,-3.06,27.57
