date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2011-03-31,ZTS,2011,Q1,USD,14773536120.0,,,,,,,0.0,0.8181818181818182,,,0.6785714285714286,0.9256198347107438,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005144333718256749,0.001962969445124286,0.5396825396825397,0.6938775510204082,0.03458799593082401,0.0,0.10274669379450661,0.006103763987792472,0.0,,,,,,,,,,,,,Healthcare
2011-06-30,ZTS,2011,Q2,USD,14773536120.0,,,,,,,0.0,2.106060606060606,,,0.6346153846153846,0.9203539823008849,,,0.0,0.0,0.0,0.0,0.0,0.0,0.004467447702696651,0.007851877780497145,0.16546762589928057,0.46,0.021415270018621976,0.0,0.09776536312849161,0.004655493482309125,0.0,,,,,,,,,,,,,Healthcare
2011-09-30,ZTS,2011,Q3,USD,14773536120.0,,,,,,,0.0,1.9052631578947368,,,0.6351351351351351,0.9426751592356688,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006362728546264927,0.01062711044429355,0.13259668508287292,0.46153846153846156,0.022878932316491896,0.0,0.09723546234509056,0.0038131553860819827,0.0,,,,,,,,,,,,,Healthcare
2011-12-31,ZTS,2011,Q4,USD,14773536120.0,15269536120.0,13.548834179236913,133.94329929824562,254.49226866666666,76.73133728643217,2.492462311557789,2.741399762752076,11.4,1.8218024913087119,-1.4929304887366397,0.3,0.7692307692307693,1468000000.0,4628000000.0,0.0015759061460339696,0.0,0.0023721665788086453,0.0024193548387096775,0.009860312243221037,0.029580936729663106,0.0006091974140040888,0.004061316093360592,0.47368421052631576,1.0,0.04791481810115351,0.0,0.10559006211180125,0.00354924578527063,0.33566800910523553,,,,69.55634427684117,45.96658711217184,228.32935560859187,297.88569988543304,251.9191127732612,-436000000.0,,1819000000.0,336000000.0,Healthcare
2012-03-31,ZTS,2012,Q1,USD,14773536120.0,15239536120.0,14.555430869149951,-3809.88403,-435.4153177142857,61.94933382113821,1.8943089430894309,3.137888198757764,-0.03571428571428571,6.579414296300504,-1.2426219322771046,0.6491228070175439,0.9553072625698324,1721000000.0,4868000000.0,0.018794446325770403,0.03408797452009985,0.027743064233941513,0.028215556685307574,0.02542329161464728,0.03881591844736326,0.007513434772717095,-0.0023691010544603453,-7.75,0.6458333333333334,0.029608404966571154,0.0,0.09742120343839542,0.0057306590257879654,0.3225533355909245,859500000.0,207000000.0,1146500000.0,72.89398280802291,45.80152671755725,281.6793893129771,354.57337212100003,308.7718454034428,-501000000.0,-118760233.91812867,2045000000.0,570000000.0,Healthcare
2012-06-30,ZTS,2012,Q2,USD,14773536120.0,15240536120.0,13.931020219378428,205.9531908108108,304.8107224,46.89395729230769,1.436923076923077,3.342780026990553,0.4277456647398844,8.194029095807208,-1.0710267583520146,0.6865079365079365,0.9692307692307692,1736000000.0,4803000000.0,0.02982758620689655,0.0451050743208611,0.04399796541200407,0.04418901660280971,0.035824885399900225,0.05218422613164657,0.011710128069189706,0.0033844300778004934,0.32432432432432434,0.4444444444444444,0.021937842778793418,0.0,0.08409506398537477,0.005484460694698354,0.3220689655172414,868500000.0,211000000.0,1201000000.0,73.13528336380256,52.857142857142854,279.04761904761904,352.1829024114216,299.32575955427876,-417000000.0,193492063.4920635,2063000000.0,608000000.0,Healthcare
2012-09-30,ZTS,2012,Q3,USD,14773536120.0,15220536120.0,14.936738096172718,205.68292054054055,317.0945025,55.54940189781022,1.6313868613138687,3.4667571234735415,0.45962732919254656,8.108490148777852,-0.8186191783582277,0.7605633802816901,0.9681818181818181,1818000000.0,4880000000.0,0.027439024390243903,0.036739576213260426,0.04003954522985665,0.03957010258915486,0.03145185544594579,0.04161021869556803,0.010965553452073598,0.0032490528746884737,0.35135135135135137,0.48148148148148145,0.02551521099116781,0.0,0.09224730127576054,0.005888125613346418,0.31470189701897017,868500000.0,208500000.0,1222000000.0,74.89695780176643,48.88579387186629,318.88579387186627,393.7827516736327,344.8969578017664,-399000000.0,112291079.81220657,2251000000.0,760000000.0,Healthcare
2012-12-31,ZTS,2012,Q4,USD,15505000000.0,15770000000.0,13.40986394557823,50.87096774193548,59.509433962264154,76.55339805825243,1.2864077669902914,2.5503116651825466,-31.0,,-1.113,-0.13513513513513514,0.9024390243902439,1741000000.0,4835000000.0,-0.0015969338869370809,0.02515206312674667,-0.0022680880018144706,-0.0024838549428713363,-0.0039669370060774495,0.0297723292469352,-0.0006449532408900354,0.01709126088358594,0.14516129032258066,1.0227272727272727,0.03826530612244898,0.2653061224489796,0.10289115646258504,0.008503401360544218,0.2959118492494411,874000000.0,257000000.0,1308500000.0,68.87755102040816,66.30484988452656,279.5612009237875,348.4387519441957,282.13390205966914,0.0,64918918.91891892,2188000000.0,643000000.0,Healthcare
2013-03-31,ZTS,2013,Q1,USD,16295000000.000002,19473000000.0,17.8651376146789,69.29893238434164,75.18532818532819,73.48301886792453,11.992452830188679,2.2859362859362857,2.007142857142857,2.9888793886672644,-7.1555,0.7291666666666666,0.897196261682243,1655000000.0,4732000000.0,0.022793878215564962,0.03643985811028701,0.032543003254300325,0.19746121297602257,0.03390077487485429,0.04654994850669413,0.00859159251304081,0.015894446149125496,0.07829181494661921,0.43137254901960786,0.02018348623853211,0.0,0.08256880733944955,0.010091743119266056,0.29957668511885377,991500000.0,297000000.0,1232500000.0,89.42201834862385,61.56716417910447,250.7462686567164,340.1682870053403,278.60112282623584,-2919000000.0,235041666.66666666,-1116000000.0,-2476000000.0,Healthcare
2013-06-30,ZTS,2013,Q2,USD,15305000000.0,18588000000.0,16.685816876122082,-1549.0,-265.54285714285714,86.85981308411215,15.341121495327103,2.333080999242998,-0.09375,3.035786553761644,-7.1755,0.6844919786096256,0.8538812785388128,1761000000.0,4829000000.0,0.02044401852739179,0.030476497621543176,0.028796400449943756,0.16,0.02612459288312182,0.03825910931174089,0.00836327997386475,-0.004573668735707285,-4.833333333333333,1.1372549019607843,0.05206463195691203,0.0,0.08527827648114901,0.017953321364452424,0.290049512857371,1110000000.0,431000000.0,1188500000.0,91.85816876122082,126.9951923076923,271.9471153846154,363.80528414583625,236.81009183814393,-3353000000.0,903743.315508008,-993000000.0,-2356000000.0,Healthcare
